protein_id	Seq MD5 digest	Sequence length	Analysis	Signature accession	Signature description	Start location	Stop location	Score	Status	Date of run	Interpro annotations - accession	Interpro annotation - description	optional: GO terms	optional: Pathway annotation
HIN_033736	88ffa12c715fe267fed1e2655ad594d4	1456	PANTHER	PTHR45739	MATRIX PROTEIN, PUTATIVE-RELATED	205	475	1.8E-13	T	14-10-2020				
HIN_042604	6ae018423ee47601dde2753d581a5881	874	SUPERFAMILY	SSF54001	Cysteine proteinases	13	386	7.79E-44	T	14-10-2020	IPR038765	Papain-like cysteine peptidase superfamily		
HIN_042604	6ae018423ee47601dde2753d581a5881	874	PANTHER	PTHR12411	CYSTEINE PROTEASE FAMILY C1-RELATED	18	372	1.8E-23	T	14-10-2020				
HIN_042604	6ae018423ee47601dde2753d581a5881	874	PRINTS	PR00705	Papain cysteine protease (C1) family signature	335	345	1.9E-5	T	14-10-2020	IPR000668	Peptidase C1A, papain C-terminal	GO:0006508|GO:0008234	
HIN_042604	6ae018423ee47601dde2753d581a5881	874	PRINTS	PR00705	Papain cysteine protease (C1) family signature	350	356	1.9E-5	T	14-10-2020	IPR000668	Peptidase C1A, papain C-terminal	GO:0006508|GO:0008234	
HIN_042604	6ae018423ee47601dde2753d581a5881	874	PRINTS	PR00705	Papain cysteine protease (C1) family signature	125	140	1.9E-5	T	14-10-2020	IPR000668	Peptidase C1A, papain C-terminal	GO:0006508|GO:0008234	
HIN_042604	6ae018423ee47601dde2753d581a5881	874	SMART	SM00645	pept_c1	107	386	9.1E-14	T	14-10-2020	IPR000668	Peptidase C1A, papain C-terminal	GO:0006508|GO:0008234	
HIN_042604	6ae018423ee47601dde2753d581a5881	874	PANTHER	PTHR12411:SF741	SI:DKEY-228A15.1-RELATED	18	372	1.8E-23	T	14-10-2020				
HIN_042604	6ae018423ee47601dde2753d581a5881	874	CDD	cd02248	Peptidase_C1A	110	374	2.2728E-39	T	14-10-2020	IPR039417	Papain-like cysteine endopeptidase		Reactome: R-HSA-2132295
HIN_042604	6ae018423ee47601dde2753d581a5881	874	Pfam	PF00112	Papain family cysteine protease	110	378	1.1E-24	T	14-10-2020	IPR000668	Peptidase C1A, papain C-terminal	GO:0006508|GO:0008234	
HIN_042616	c52c2f4f4565583a20c55e125e7a2eb5	415	PANTHER	PTHR12411	CYSTEINE PROTEASE FAMILY C1-RELATED	73	376	2.9E-28	T	14-10-2020				
HIN_042616	c52c2f4f4565583a20c55e125e7a2eb5	415	CDD	cd02248	Peptidase_C1A	111	375	9.33253E-39	T	14-10-2020	IPR039417	Papain-like cysteine endopeptidase		Reactome: R-HSA-2132295
HIN_042616	c52c2f4f4565583a20c55e125e7a2eb5	415	SUPERFAMILY	SSF54001	Cysteine proteinases	13	378	4.07E-41	T	14-10-2020	IPR038765	Papain-like cysteine peptidase superfamily		
HIN_042616	c52c2f4f4565583a20c55e125e7a2eb5	415	PANTHER	PTHR12411:SF570	CATHEPSIN L 1	73	376	2.9E-28	T	14-10-2020				
HIN_042616	c52c2f4f4565583a20c55e125e7a2eb5	415	Pfam	PF00112	Papain family cysteine protease	110	379	6.4E-23	T	14-10-2020	IPR000668	Peptidase C1A, papain C-terminal	GO:0006508|GO:0008234	
HIN_042616	c52c2f4f4565583a20c55e125e7a2eb5	415	SMART	SM00645	pept_c1	108	389	6.1E-10	T	14-10-2020	IPR000668	Peptidase C1A, papain C-terminal	GO:0006508|GO:0008234	
HIN_042642	d88d64e9b83cc566874e303c4350bd31	757	PANTHER	PTHR12411:SF586	CATHEPSIN L,-LIKE-RELATED	33	284	2.8E-18	T	14-10-2020				
HIN_042642	d88d64e9b83cc566874e303c4350bd31	757	SMART	SM00645	pept_c1	36	298	1.7E-13	T	14-10-2020	IPR000668	Peptidase C1A, papain C-terminal	GO:0006508|GO:0008234	
HIN_042642	d88d64e9b83cc566874e303c4350bd31	757	CDD	cd02248	Peptidase_C1A	38	295	1.45197E-38	T	14-10-2020	IPR039417	Papain-like cysteine endopeptidase		Reactome: R-HSA-2132295
HIN_042642	d88d64e9b83cc566874e303c4350bd31	757	SUPERFAMILY	SSF54001	Cysteine proteinases	9	298	1.33E-42	T	14-10-2020	IPR038765	Papain-like cysteine peptidase superfamily		
HIN_042642	d88d64e9b83cc566874e303c4350bd31	757	PANTHER	PTHR12411	CYSTEINE PROTEASE FAMILY C1-RELATED	33	284	2.8E-18	T	14-10-2020				
HIN_042642	d88d64e9b83cc566874e303c4350bd31	757	Pfam	PF00112	Papain family cysteine protease	38	291	1.8E-29	T	14-10-2020	IPR000668	Peptidase C1A, papain C-terminal	GO:0006508|GO:0008234	
HIN_042725	9351631324962ab7d88f593ef838063e	1997	PANTHER	PTHR12411	CYSTEINE PROTEASE FAMILY C1-RELATED	86	377	3.4E-29	T	14-10-2020				
HIN_042725	9351631324962ab7d88f593ef838063e	1997	SMART	SM01411	GCC2_GCC3_2	1408	1448	6.5	T	14-10-2020	IPR011641	Tyrosine-protein kinase ephrin type A/B receptor-like		
HIN_042725	9351631324962ab7d88f593ef838063e	1997	SMART	SM01411	GCC2_GCC3_2	1050	1090	8.2	T	14-10-2020	IPR011641	Tyrosine-protein kinase ephrin type A/B receptor-like		
HIN_042725	9351631324962ab7d88f593ef838063e	1997	SMART	SM01411	GCC2_GCC3_2	692	732	6.5	T	14-10-2020	IPR011641	Tyrosine-protein kinase ephrin type A/B receptor-like		
HIN_042725	9351631324962ab7d88f593ef838063e	1997	SMART	SM01411	GCC2_GCC3_2	1587	1627	49.0	T	14-10-2020	IPR011641	Tyrosine-protein kinase ephrin type A/B receptor-like		
HIN_042725	9351631324962ab7d88f593ef838063e	1997	SMART	SM01411	GCC2_GCC3_2	871	911	60.0	T	14-10-2020	IPR011641	Tyrosine-protein kinase ephrin type A/B receptor-like		
HIN_042725	9351631324962ab7d88f593ef838063e	1997	SMART	SM01411	GCC2_GCC3_2	1229	1269	49.0	T	14-10-2020	IPR011641	Tyrosine-protein kinase ephrin type A/B receptor-like		
HIN_042725	9351631324962ab7d88f593ef838063e	1997	SMART	SM01411	GCC2_GCC3_2	513	553	49.0	T	14-10-2020	IPR011641	Tyrosine-protein kinase ephrin type A/B receptor-like		
HIN_042725	9351631324962ab7d88f593ef838063e	1997	SUPERFAMILY	SSF57184	Growth factor receptor domain	1623	1790	3.93E-5	T	14-10-2020	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
HIN_042725	9351631324962ab7d88f593ef838063e	1997	PANTHER	PTHR12411:SF570	CATHEPSIN L 1	86	377	3.4E-29	T	14-10-2020				
HIN_042725	9351631324962ab7d88f593ef838063e	1997	SUPERFAMILY	SSF54001	Cysteine proteinases	20	384	4.07E-45	T	14-10-2020	IPR038765	Papain-like cysteine peptidase superfamily		
HIN_042725	9351631324962ab7d88f593ef838063e	1997	CDD	cd02248	Peptidase_C1A	110	374	1.82657E-38	T	14-10-2020	IPR039417	Papain-like cysteine endopeptidase		Reactome: R-HSA-2132295
HIN_042725	9351631324962ab7d88f593ef838063e	1997	SMART	SM00645	pept_c1	107	388	4.4E-15	T	14-10-2020	IPR000668	Peptidase C1A, papain C-terminal	GO:0006508|GO:0008234	
HIN_042725	9351631324962ab7d88f593ef838063e	1997	ProSitePatterns	PS00639	Eukaryotic thiol (cysteine) proteases histidine active site.	333	343	-	T	14-10-2020	IPR025660	Cysteine peptidase, histidine active site		Reactome: R-HSA-2132295
HIN_042726	62bb8c67e430866269210964a2cb65a8	839	SMART	SM00645	pept_c1	107	394	1.3E-6	T	14-10-2020	IPR000668	Peptidase C1A, papain C-terminal	GO:0006508|GO:0008234	
HIN_042726	62bb8c67e430866269210964a2cb65a8	839	PANTHER	PTHR12411:SF586	CATHEPSIN L,-LIKE-RELATED	304	377	1.9E-12	T	14-10-2020				
HIN_042726	62bb8c67e430866269210964a2cb65a8	839	Pfam	PF00112	Papain family cysteine protease	315	384	1.5E-15	T	14-10-2020	IPR000668	Peptidase C1A, papain C-terminal	GO:0006508|GO:0008234	
HIN_042726	62bb8c67e430866269210964a2cb65a8	839	SUPERFAMILY	SSF54001	Cysteine proteinases	20	390	1.63E-35	T	14-10-2020	IPR038765	Papain-like cysteine peptidase superfamily		
HIN_042726	62bb8c67e430866269210964a2cb65a8	839	ProSitePatterns	PS00639	Eukaryotic thiol (cysteine) proteases histidine active site.	339	349	-	T	14-10-2020	IPR025660	Cysteine peptidase, histidine active site		Reactome: R-HSA-2132295
HIN_042726	62bb8c67e430866269210964a2cb65a8	839	PANTHER	PTHR12411	CYSTEINE PROTEASE FAMILY C1-RELATED	304	377	1.9E-12	T	14-10-2020				
HIN_042757	3a292c4b099f7690dde466db294d54c4	1083	PANTHER	PTHR12411:SF570	CATHEPSIN L 1	82	377	1.8E-28	T	14-10-2020				
HIN_042757	3a292c4b099f7690dde466db294d54c4	1083	SUPERFAMILY	SSF54001	Cysteine proteinases	19	384	1.02E-43	T	14-10-2020	IPR038765	Papain-like cysteine peptidase superfamily		
HIN_042757	3a292c4b099f7690dde466db294d54c4	1083	SMART	SM00645	pept_c1	107	388	4.8E-13	T	14-10-2020	IPR000668	Peptidase C1A, papain C-terminal	GO:0006508|GO:0008234	
HIN_042757	3a292c4b099f7690dde466db294d54c4	1083	Pfam	PF00112	Papain family cysteine protease	109	378	2.3E-24	T	14-10-2020	IPR000668	Peptidase C1A, papain C-terminal	GO:0006508|GO:0008234	
HIN_042757	3a292c4b099f7690dde466db294d54c4	1083	PANTHER	PTHR12411	CYSTEINE PROTEASE FAMILY C1-RELATED	82	377	1.8E-28	T	14-10-2020				
HIN_042757	3a292c4b099f7690dde466db294d54c4	1083	CDD	cd02248	Peptidase_C1A	110	374	2.54917E-38	T	14-10-2020	IPR039417	Papain-like cysteine endopeptidase		Reactome: R-HSA-2132295
HIN_042757	3a292c4b099f7690dde466db294d54c4	1083	ProSitePatterns	PS00639	Eukaryotic thiol (cysteine) proteases histidine active site.	333	343	-	T	14-10-2020	IPR025660	Cysteine peptidase, histidine active site		Reactome: R-HSA-2132295
HIN_043846	4652d9408306c54b84066b1939797c67	629	Pfam	PF00112	Papain family cysteine protease	110	378	6.2E-28	T	14-10-2020	IPR000668	Peptidase C1A, papain C-terminal	GO:0006508|GO:0008234	
HIN_043846	4652d9408306c54b84066b1939797c67	629	SMART	SM00645	pept_c1	107	386	3.7E-15	T	14-10-2020	IPR000668	Peptidase C1A, papain C-terminal	GO:0006508|GO:0008234	
HIN_043846	4652d9408306c54b84066b1939797c67	629	PRINTS	PR00705	Papain cysteine protease (C1) family signature	125	140	3.6E-6	T	14-10-2020	IPR000668	Peptidase C1A, papain C-terminal	GO:0006508|GO:0008234	
HIN_043846	4652d9408306c54b84066b1939797c67	629	PRINTS	PR00705	Papain cysteine protease (C1) family signature	350	356	3.6E-6	T	14-10-2020	IPR000668	Peptidase C1A, papain C-terminal	GO:0006508|GO:0008234	
HIN_043846	4652d9408306c54b84066b1939797c67	629	PRINTS	PR00705	Papain cysteine protease (C1) family signature	335	345	3.6E-6	T	14-10-2020	IPR000668	Peptidase C1A, papain C-terminal	GO:0006508|GO:0008234	
HIN_043846	4652d9408306c54b84066b1939797c67	629	SUPERFAMILY	SSF54001	Cysteine proteinases	14	385	2.88E-46	T	14-10-2020	IPR038765	Papain-like cysteine peptidase superfamily		
HIN_043846	4652d9408306c54b84066b1939797c67	629	CDD	cd02248	Peptidase_C1A	110	374	1.80918E-42	T	14-10-2020	IPR039417	Papain-like cysteine endopeptidase		Reactome: R-HSA-2132295
HIN_043846	4652d9408306c54b84066b1939797c67	629	PANTHER	PTHR12411:SF570	CATHEPSIN L 1	74	377	1.9E-28	T	14-10-2020				
HIN_043846	4652d9408306c54b84066b1939797c67	629	PANTHER	PTHR12411	CYSTEINE PROTEASE FAMILY C1-RELATED	74	377	1.9E-28	T	14-10-2020				
HIN_043846	4652d9408306c54b84066b1939797c67	629	ProSitePatterns	PS00639	Eukaryotic thiol (cysteine) proteases histidine active site.	333	343	-	T	14-10-2020	IPR025660	Cysteine peptidase, histidine active site		Reactome: R-HSA-2132295
HIN_044911	6e128cd9d5ede475679072ac22cea193	841	CDD	cd02248	Peptidase_C1A	39	287	1.42405E-36	T	14-10-2020	IPR039417	Papain-like cysteine endopeptidase		Reactome: R-HSA-2132295
HIN_044911	6e128cd9d5ede475679072ac22cea193	841	PANTHER	PTHR12411	CYSTEINE PROTEASE FAMILY C1-RELATED	28	288	3.0E-22	T	14-10-2020				
HIN_044911	6e128cd9d5ede475679072ac22cea193	841	PANTHER	PTHR12411:SF570	CATHEPSIN L 1	28	288	3.0E-22	T	14-10-2020				
HIN_044911	6e128cd9d5ede475679072ac22cea193	841	SUPERFAMILY	SSF54001	Cysteine proteinases	9	299	7.02E-44	T	14-10-2020	IPR038765	Papain-like cysteine peptidase superfamily		
HIN_044911	6e128cd9d5ede475679072ac22cea193	841	SMART	SM00645	pept_c1	37	299	1.0E-12	T	14-10-2020	IPR000668	Peptidase C1A, papain C-terminal	GO:0006508|GO:0008234	
HIN_044911	6e128cd9d5ede475679072ac22cea193	841	Pfam	PF00112	Papain family cysteine protease	39	292	1.8E-29	T	14-10-2020	IPR000668	Peptidase C1A, papain C-terminal	GO:0006508|GO:0008234	
HIN_044911	6e128cd9d5ede475679072ac22cea193	841	SUPERFAMILY	SSF57184	Growth factor receptor domain	526	683	2.17E-6	T	14-10-2020	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
HIN_053882	4a608c8ad424b24b219d80749e3bd954	352	Pfam	PF00112	Papain family cysteine protease	2	46	4.9E-14	T	14-10-2020	IPR000668	Peptidase C1A, papain C-terminal	GO:0006508|GO:0008234	
HIN_053882	4a608c8ad424b24b219d80749e3bd954	352	Gene3D	G3DSA:3.90.70.10	Cysteine proteinases	1	63	3.7E-20	T	14-10-2020				
HIN_053882	4a608c8ad424b24b219d80749e3bd954	352	SUPERFAMILY	SSF57184	Growth factor receptor domain	94	254	2.09E-5	T	14-10-2020	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
HIN_053882	4a608c8ad424b24b219d80749e3bd954	352	ProSitePatterns	PS00639	Eukaryotic thiol (cysteine) proteases histidine active site.	1	11	-	T	14-10-2020	IPR025660	Cysteine peptidase, histidine active site		Reactome: R-HSA-2132295
HIN_053882	4a608c8ad424b24b219d80749e3bd954	352	SUPERFAMILY	SSF54001	Cysteine proteinases	1	59	2.2E-21	T	14-10-2020	IPR038765	Papain-like cysteine peptidase superfamily		
HIN_053883	110c05537880ba7e6e9d75041c887e42	213	Gene3D	G3DSA:3.90.70.10	Cysteine proteinases	6	209	9.7E-22	T	14-10-2020				
HIN_053883	110c05537880ba7e6e9d75041c887e42	213	SUPERFAMILY	SSF54001	Cysteine proteinases	14	189	2.28E-19	T	14-10-2020	IPR038765	Papain-like cysteine peptidase superfamily		
HIN_053883	110c05537880ba7e6e9d75041c887e42	213	Pfam	PF00112	Papain family cysteine protease	109	151	4.5E-8	T	14-10-2020	IPR000668	Peptidase C1A, papain C-terminal	GO:0006508|GO:0008234	
HIN_057278	34f82fb91303e8fb5c9ff46790e60eee	444	SUPERFAMILY	SSF57184	Growth factor receptor domain	285	395	4.08E-5	T	14-10-2020	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
HIN_057278	34f82fb91303e8fb5c9ff46790e60eee	444	SMART	SM00645	pept_c1	13	261	3.4E-5	T	14-10-2020	IPR000668	Peptidase C1A, papain C-terminal	GO:0006508|GO:0008234	
HIN_057278	34f82fb91303e8fb5c9ff46790e60eee	444	ProSitePatterns	PS00639	Eukaryotic thiol (cysteine) proteases histidine active site.	208	218	-	T	14-10-2020	IPR025660	Cysteine peptidase, histidine active site		Reactome: R-HSA-2132295
HIN_057278	34f82fb91303e8fb5c9ff46790e60eee	444	SUPERFAMILY	SSF54001	Cysteine proteinases	19	265	2.78E-27	T	14-10-2020	IPR038765	Papain-like cysteine peptidase superfamily		
HIN_057278	34f82fb91303e8fb5c9ff46790e60eee	444	PANTHER	PTHR12411:SF570	CATHEPSIN L 1	2	252	6.7E-13	T	14-10-2020				
HIN_057278	34f82fb91303e8fb5c9ff46790e60eee	444	Pfam	PF00112	Papain family cysteine protease	185	254	1.1E-15	T	14-10-2020	IPR000668	Peptidase C1A, papain C-terminal	GO:0006508|GO:0008234	
HIN_057278	34f82fb91303e8fb5c9ff46790e60eee	444	Gene3D	G3DSA:3.90.70.10	Cysteine proteinases	1	272	5.9E-26	T	14-10-2020				
HIN_057278	34f82fb91303e8fb5c9ff46790e60eee	444	PANTHER	PTHR12411	CYSTEINE PROTEASE FAMILY C1-RELATED	2	252	6.7E-13	T	14-10-2020				
HIN_060711	c922854c799e9be4957e37fb3eeb156a	2705	PANTHER	PTHR45739:SF1	EXTRACELLULAR MATRIX PROTEIN FRAS1	712	968	6.1E-98	T	14-10-2020				
HIN_060711	c922854c799e9be4957e37fb3eeb156a	2705	PANTHER	PTHR45739:SF1	EXTRACELLULAR MATRIX PROTEIN FRAS1	2306	2552	6.1E-98	T	14-10-2020				
HIN_060711	c922854c799e9be4957e37fb3eeb156a	2705	PANTHER	PTHR45739	MATRIX PROTEIN, PUTATIVE-RELATED	712	968	6.1E-98	T	14-10-2020				
HIN_060711	c922854c799e9be4957e37fb3eeb156a	2705	PANTHER	PTHR45739	MATRIX PROTEIN, PUTATIVE-RELATED	439	702	6.1E-98	T	14-10-2020				
HIN_060711	c922854c799e9be4957e37fb3eeb156a	2705	SUPERFAMILY	SSF69304	Tricorn protease N-terminal domain	1415	1828	5.62E-8	T	14-10-2020				
HIN_060711	c922854c799e9be4957e37fb3eeb156a	2705	SUPERFAMILY	SSF57184	Growth factor receptor domain	1496	1653	1.08E-6	T	14-10-2020	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
HIN_060711	c922854c799e9be4957e37fb3eeb156a	2705	SMART	SM00645	pept_c1	106	382	3.2E-9	T	14-10-2020	IPR000668	Peptidase C1A, papain C-terminal	GO:0006508|GO:0008234	
HIN_060711	c922854c799e9be4957e37fb3eeb156a	2705	PANTHER	PTHR45739:SF1	EXTRACELLULAR MATRIX PROTEIN FRAS1	1352	1604	6.1E-98	T	14-10-2020				
HIN_060711	c922854c799e9be4957e37fb3eeb156a	2705	SUPERFAMILY	SSF57184	Growth factor receptor domain	2397	2552	1.08E-7	T	14-10-2020	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
HIN_060711	c922854c799e9be4957e37fb3eeb156a	2705	PANTHER	PTHR45739	MATRIX PROTEIN, PUTATIVE-RELATED	1352	1604	6.1E-98	T	14-10-2020				
HIN_060711	c922854c799e9be4957e37fb3eeb156a	2705	PANTHER	PTHR45739	MATRIX PROTEIN, PUTATIVE-RELATED	981	1337	6.1E-98	T	14-10-2020				
HIN_060711	c922854c799e9be4957e37fb3eeb156a	2705	SUPERFAMILY	SSF82171	DPP6 N-terminal domain-like	559	900	2.0E-12	T	14-10-2020				
HIN_060711	c922854c799e9be4957e37fb3eeb156a	2705	PANTHER	PTHR45739	MATRIX PROTEIN, PUTATIVE-RELATED	1174	1549	6.1E-98	T	14-10-2020				
HIN_060711	c922854c799e9be4957e37fb3eeb156a	2705	PANTHER	PTHR45739	MATRIX PROTEIN, PUTATIVE-RELATED	1617	1868	6.1E-98	T	14-10-2020				
HIN_060711	c922854c799e9be4957e37fb3eeb156a	2705	PANTHER	PTHR45739	MATRIX PROTEIN, PUTATIVE-RELATED	2041	2293	6.1E-98	T	14-10-2020				
HIN_060711	c922854c799e9be4957e37fb3eeb156a	2705	PANTHER	PTHR45739	MATRIX PROTEIN, PUTATIVE-RELATED	1772	2028	6.1E-98	T	14-10-2020				
HIN_060711	c922854c799e9be4957e37fb3eeb156a	2705	ProSitePatterns	PS00639	Eukaryotic thiol (cysteine) proteases histidine active site.	329	339	-	T	14-10-2020	IPR025660	Cysteine peptidase, histidine active site		Reactome: R-HSA-2132295
HIN_060711	c922854c799e9be4957e37fb3eeb156a	2705	PANTHER	PTHR45739:SF1	EXTRACELLULAR MATRIX PROTEIN FRAS1	1174	1549	6.1E-98	T	14-10-2020				
HIN_060711	c922854c799e9be4957e37fb3eeb156a	2705	PANTHER	PTHR45739:SF1	EXTRACELLULAR MATRIX PROTEIN FRAS1	439	702	6.1E-98	T	14-10-2020				
HIN_060711	c922854c799e9be4957e37fb3eeb156a	2705	PANTHER	PTHR45739:SF1	EXTRACELLULAR MATRIX PROTEIN FRAS1	981	1337	6.1E-98	T	14-10-2020				
HIN_060711	c922854c799e9be4957e37fb3eeb156a	2705	PANTHER	PTHR45739:SF1	EXTRACELLULAR MATRIX PROTEIN FRAS1	1617	1868	6.1E-98	T	14-10-2020				
HIN_060711	c922854c799e9be4957e37fb3eeb156a	2705	PANTHER	PTHR45739:SF1	EXTRACELLULAR MATRIX PROTEIN FRAS1	2041	2293	6.1E-98	T	14-10-2020				
HIN_060711	c922854c799e9be4957e37fb3eeb156a	2705	PANTHER	PTHR45739:SF1	EXTRACELLULAR MATRIX PROTEIN FRAS1	1772	2028	6.1E-98	T	14-10-2020				
HIN_060711	c922854c799e9be4957e37fb3eeb156a	2705	SUPERFAMILY	SSF57184	Growth factor receptor domain	1920	2077	4.71E-7	T	14-10-2020	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
HIN_060711	c922854c799e9be4957e37fb3eeb156a	2705	SUPERFAMILY	SSF69304	Tricorn protease N-terminal domain	2080	2411	1.96E-8	T	14-10-2020				
HIN_060711	c922854c799e9be4957e37fb3eeb156a	2705	PANTHER	PTHR45739	MATRIX PROTEIN, PUTATIVE-RELATED	2306	2552	6.1E-98	T	14-10-2020				
HIN_060711	c922854c799e9be4957e37fb3eeb156a	2705	SUPERFAMILY	SSF54001	Cysteine proteinases	16	381	2.07E-40	T	14-10-2020	IPR038765	Papain-like cysteine peptidase superfamily		
HIN_060711	c922854c799e9be4957e37fb3eeb156a	2705	SUPERFAMILY	SSF69304	Tricorn protease N-terminal domain	1762	1957	1.96E-8	T	14-10-2020				
HIN_060711	c922854c799e9be4957e37fb3eeb156a	2705	SUPERFAMILY	SSF57184	Growth factor receptor domain	1019	1179	6.28E-7	T	14-10-2020	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
HIN_060711	c922854c799e9be4957e37fb3eeb156a	2705	SUPERFAMILY	SSF57184	Growth factor receptor domain	1178	1337	6.12E-7	T	14-10-2020	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
HIN_060967	368ff9c2d4245cd1fae1058be9406540	2069	SUPERFAMILY	SSF57184	Growth factor receptor domain	979	1128	2.98E-7	T	14-10-2020	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
HIN_060967	368ff9c2d4245cd1fae1058be9406540	2069	SUPERFAMILY	SSF57184	Growth factor receptor domain	1298	1443	9.94E-7	T	14-10-2020	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
HIN_060967	368ff9c2d4245cd1fae1058be9406540	2069	SUPERFAMILY	SSF57184	Growth factor receptor domain	1496	1657	4.45E-7	T	14-10-2020	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
HIN_060967	368ff9c2d4245cd1fae1058be9406540	2069	PANTHER	PTHR45739	MATRIX PROTEIN, PUTATIVE-RELATED	1189	1445	6.7E-67	T	14-10-2020				
HIN_060967	368ff9c2d4245cd1fae1058be9406540	2069	PANTHER	PTHR45739	MATRIX PROTEIN, PUTATIVE-RELATED	439	703	6.7E-67	T	14-10-2020				
HIN_060967	368ff9c2d4245cd1fae1058be9406540	2069	PANTHER	PTHR45739	MATRIX PROTEIN, PUTATIVE-RELATED	1458	1710	6.7E-67	T	14-10-2020				
HIN_060967	368ff9c2d4245cd1fae1058be9406540	2069	SUPERFAMILY	SSF69304	Tricorn protease N-terminal domain	477	684	2.88E-8	T	14-10-2020				
HIN_060967	368ff9c2d4245cd1fae1058be9406540	2069	SUPERFAMILY	SSF54001	Cysteine proteinases	16	381	1.89E-40	T	14-10-2020	IPR038765	Papain-like cysteine peptidase superfamily		
HIN_060967	368ff9c2d4245cd1fae1058be9406540	2069	PANTHER	PTHR45739:SF1	EXTRACELLULAR MATRIX PROTEIN FRAS1	1189	1445	6.7E-67	T	14-10-2020				
HIN_060967	368ff9c2d4245cd1fae1058be9406540	2069	PANTHER	PTHR45739:SF1	EXTRACELLULAR MATRIX PROTEIN FRAS1	977	1232	6.7E-67	T	14-10-2020				
HIN_060967	368ff9c2d4245cd1fae1058be9406540	2069	PANTHER	PTHR45739:SF1	EXTRACELLULAR MATRIX PROTEIN FRAS1	439	703	6.7E-67	T	14-10-2020				
HIN_060967	368ff9c2d4245cd1fae1058be9406540	2069	PANTHER	PTHR45739:SF1	EXTRACELLULAR MATRIX PROTEIN FRAS1	1458	1710	6.7E-67	T	14-10-2020				
HIN_060967	368ff9c2d4245cd1fae1058be9406540	2069	PANTHER	PTHR45739:SF1	EXTRACELLULAR MATRIX PROTEIN FRAS1	1723	1912	6.7E-67	T	14-10-2020				
HIN_060967	368ff9c2d4245cd1fae1058be9406540	2069	SUPERFAMILY	SSF57184	Growth factor receptor domain	1390	1551	7.06E-7	T	14-10-2020	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
HIN_060967	368ff9c2d4245cd1fae1058be9406540	2069	PANTHER	PTHR45739:SF1	EXTRACELLULAR MATRIX PROTEIN FRAS1	712	968	6.7E-67	T	14-10-2020				
HIN_060967	368ff9c2d4245cd1fae1058be9406540	2069	SMART	SM00645	pept_c1	106	382	3.2E-9	T	14-10-2020	IPR000668	Peptidase C1A, papain C-terminal	GO:0006508|GO:0008234	
HIN_060967	368ff9c2d4245cd1fae1058be9406540	2069	PANTHER	PTHR45739	MATRIX PROTEIN, PUTATIVE-RELATED	1723	1912	6.7E-67	T	14-10-2020				
HIN_060967	368ff9c2d4245cd1fae1058be9406540	2069	PANTHER	PTHR45739	MATRIX PROTEIN, PUTATIVE-RELATED	712	968	6.7E-67	T	14-10-2020				
HIN_060967	368ff9c2d4245cd1fae1058be9406540	2069	SUPERFAMILY	SSF69304	Tricorn protease N-terminal domain	703	1002	5.62E-8	T	14-10-2020				
HIN_060967	368ff9c2d4245cd1fae1058be9406540	2069	ProSitePatterns	PS00639	Eukaryotic thiol (cysteine) proteases histidine active site.	329	339	-	T	14-10-2020	IPR025660	Cysteine peptidase, histidine active site		Reactome: R-HSA-2132295
HIN_060967	368ff9c2d4245cd1fae1058be9406540	2069	PANTHER	PTHR45739	MATRIX PROTEIN, PUTATIVE-RELATED	977	1232	6.7E-67	T	14-10-2020				
HIN_060967	368ff9c2d4245cd1fae1058be9406540	2069	SUPERFAMILY	SSF57184	Growth factor receptor domain	1761	1916	6.4E-8	T	14-10-2020	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
HIN_060967	368ff9c2d4245cd1fae1058be9406540	2069	SUPERFAMILY	SSF57184	Growth factor receptor domain	750	913	2.44E-6	T	14-10-2020	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
HIN_060967	368ff9c2d4245cd1fae1058be9406540	2069	SUPERFAMILY	SSF57184	Growth factor receptor domain	1072	1231	3.45E-7	T	14-10-2020	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
HIN_069129	1ddc87e9354c73e45292faa9690370ae	1994	ProSitePatterns	PS00639	Eukaryotic thiol (cysteine) proteases histidine active site.	333	343	-	T	14-10-2020	IPR025660	Cysteine peptidase, histidine active site		Reactome: R-HSA-2132295
HIN_069129	1ddc87e9354c73e45292faa9690370ae	1994	PANTHER	PTHR12411	CYSTEINE PROTEASE FAMILY C1-RELATED	83	377	2.8E-29	T	14-10-2020				
HIN_069129	1ddc87e9354c73e45292faa9690370ae	1994	CDD	cd02248	Peptidase_C1A	110	374	1.03226E-38	T	14-10-2020	IPR039417	Papain-like cysteine endopeptidase		Reactome: R-HSA-2132295
